StoreID,Address,City,PhoneNumber,OpeningDate
1,"4 SakhiGarh, Mirpur1, Dhaka",Dhaka,01336728682,2006-05-23
2,"1 PaiCorner, Farmgate, Dhaka",Dhaka,01883169677,2015-05-17
3,"4 OsmaniHar Highway, Mirpur10, Dhaka",Dhaka,01872905637,2013-07-12
4,"503 ShyamDanga Plaza, New Market, Dhaka",Dhaka,01620526107,2008-10-21
5,"57 JibonGanz, Dhanmondi, Dhaka",Dhaka,01962639653,2007-02-15
6,"8 East KaliTala, Gulshan, Dhaka",Dhaka,01605176129,2019-06-20
7,"67 South KumarGram Center, Pahartali, Chattogram",Chattogram,01932487770,2011-10-14
8,"300 ShahjahanMohalla, New Market, Chattogram",Chattogram,01351466933,2005-08-10
9,"78 West FatikDiya, Bandar, Chattogram",Chattogram,01561095067,2006-04-12
10,"433 Middle MirzaDiya, Agrabad, Chattogram",Chattogram,01613910149,2012-12-23
11,"5 BadrPark, GEC Circle, Chattogram",Chattogram,01480102554,2014-01-22
12,"161 New BiswnathBari Stand, Khulshi, Chattogram",Chattogram,01798228244,2011-05-25
